onceki_x,translation_x,onceki_y,translation_y,predicted_translation_x,predicted_translation_y
82.29431591483566,71.14223854797552,-9.304952441217774,-6.683828620433109,4043.39590812735,-169.45748918662207
82.66396143483848,71.46171458019846,-9.345665220868725,-6.695910514099949,4068.3334334040705,-170.25290243163982
83.03360696312552,71.86804319183572,-9.39040201508634,-6.809572477695781,4093.2709592396723,-171.12693360724134
83.39749924744913,72.27607156319293,-9.426435159733902,-6.9265320602670775,4117.820351961257,-171.83091994170525
83.75975179782873,72.55853419730883,-9.463074299469708,-6.858541193324422,4142.259122737049,-172.5467457163582
84.12200443815655,72.89008987586809,-9.50781109348114,-6.871179157278622,4166.697899581051,-173.42077688793137
84.48425707662047,73.28156892478431,-9.548220867854477,-6.916315385006346,4191.1366762993075,-174.21027026176395
84.84650973788675,73.64740897992178,-9.587365495149388,-6.946133014096689,4215.5754545558875,-174.9750462188123
85.20876246178493,73.9973733724162,-9.626510125581795,-7.013505927802815,4240.014237037825,-175.73982223715856
85.56532749517017,74.41011134294143,-9.665654746271416,-7.045875175434329,4264.069308861153,-176.50459806515812
85.92413659750947,74.80680702018797,-9.704799356211495,-7.088779072874931,4288.275773094875,-177.26937368314182
86.29378206119925,75.17332011374633,-9.743943944672468,-7.121048636564401,4313.213294572529,-178.03414888148427
86.69735625542918,75.5685538076535,-9.778811087075855,-7.151382666367181,4340.439761890635,-178.71535481046647
87.12301084732924,75.9592086072107,-9.813832357365996,-7.189101267988136,4369.155846815941,-179.39957196500484
87.58137143770017,76.2827644965675,-9.852976830562987,-7.206208566501841,4400.078387979541,-180.16434491141314
88.07346395974541,76.60525035591117,-9.896373842945172,-7.1760909135862985,4433.27659827273,-181.01220051692408
88.59145514697349,76.87894502112617,-9.945442712978306,-7.176025079460322,4468.22201929263,-181.97086827375696
89.1533166934622,77.33007661896572,-10.00695567206374,-7.209920866858779,4506.127081735893,-183.17265854247037
89.74871340309585,77.73690346538793,-10.0726963572216,-7.26962467791787,4546.29453864448,-184.45704669182834
90.36806678303932,78.22338087307098,-10.142639974229509,-7.406767629112842,4588.078192798993,-185.82354831243782
91.02603611197064,78.6402947862618,-10.220929222212106,-7.480341384628634,4632.467008254963,-187.3531000974479
91.717343941662,79.22308252056551,-10.299218418469456,-7.607602082889462,4679.104950672854,-188.88265087189205
92.43073218748138,79.7798138160285,-10.37890207288152,-7.725611025067539,4727.232511943178,-190.43944543797602
93.17741672124458,80.48781911499675,-10.4627833281447,-7.888904836289154,4777.606352357406,-192.07824932258106
93.93514842712348,81.20962831228461,-10.546664543945756,-7.977305733862232,4828.725472016107,-193.71705243620713
94.70205100900702,81.95302737499914,-10.63328510880473,-8.0775406924501,4880.463289697104,-195.40937472838294
95.4857001483427,82.66046257445397,-10.728350564517092,-8.246121168254735,4933.330886253163,-197.266686443907
96.27484024612606,83.27251956375518,-10.810955927557666,-8.598480182639058,4986.56892126356,-198.8805629818219
97.06588244151531,83.89362965700353,-10.889244897530991,-8.997752528960216,5039.935278151428,-200.41010933531254
97.85692444629848,84.37336443009923,-10.967533826949998,-9.263002217975831,5093.30162218037,-201.9396548964858
98.64796650010608,85.27388019897866,-11.041694191522629,-9.086190276708376,5146.667969516666,-203.3885399085667
99.43726344698902,86.23961340230534,-11.11439095423829,-8.979202443851086,5199.916586092842,-204.80883025547246
100.2209127499831,86.93197569685049,-11.18708772006015,-9.14446055652986,5252.784193689845,-206.22912066306466
100.99913689866491,87.74216879266274,-11.263888227134968,-9.140520517299011,5305.285802199964,-207.72958663652867
101.77368104746776,88.2579567086783,-11.34217713868039,-9.411310252561943,5357.539145588406,-209.25913184850225
